location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
225801,"Westminster - Elizabeth Bridge","no2",30.9,"µg/m³","2024-11-09T01:00:00Z","2024-11-09T01:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",21.5,"µg/m³","2024-11-09T02:00:00Z","2024-11-09T02:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",20,"µg/m³","2024-11-09T03:00:00Z","2024-11-09T03:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",17.1,"µg/m³","2024-11-09T04:00:00Z","2024-11-09T04:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",24.4,"µg/m³","2024-11-09T05:00:00Z","2024-11-09T05:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",37.8,"µg/m³","2024-11-09T06:00:00Z","2024-11-09T06:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",35.9,"µg/m³","2024-11-09T07:00:00Z","2024-11-09T07:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",37.8,"µg/m³","2024-11-09T08:00:00Z","2024-11-09T08:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",42.5,"µg/m³","2024-11-09T09:00:00Z","2024-11-09T09:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",36.8,"µg/m³","2024-11-09T10:00:00Z","2024-11-09T10:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
225801,"Westminster - Elizabeth Bridge","no2",41.7,"µg/m³","2024-11-09T11:00:00Z","2024-11-09T11:00:00Z","Europe/London",51.4922482333024,-0.147114752900186,,,,"Unknown Governmental Organization","London Air Quality Network"
